Nama Sekolah,Alamat,Daerah,Kota,Jenis Sekolah,Tipe Sekolah,Kurikulum,Anggaran SPP (Rp),Biaya Masuk (Rp),Bahasa Pengantar,Akreditasi,Fasilitas,Ekskul,Pendidikan Agama,Prestasi,Transportasi,No Telepon,content,score,Website
TK Ceria 77,Jl. Raya Ujung,Setiabudi,Jakarta Selatan,TK,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,B,"Kolam Renang, Aula","Futsal, Tari, Robotik",Islam,Debat Nasional,Bus Sekolah,0274-998877,"surabaya dki jakarta smp negeri b kolam renang, aula futsal, tari, robotik kristen 2999159 11797298",0.041239721,www.tkceria77.sch.id
SMP Pelita Ilmu 14,Jl. Mawar No.2,Matraman,Jakarta Timur,SMP,Nasional,Kurikulum 2013,164969,12000899,Jepang,B,"Kolam Renang, Aula","Pencak Silat, KIR",Budha,Olimpiade Matematika,Tidak Ada,0274-998877,"bandung bali sd nasional b kolam renang, aula pencak silat, kir budha 164969 12000899",0,www.smppelitailmu14.sch.id
SD Bintang Timur 225,Jl. Raya Ujung,Cipayung,Jakarta Timur,SD,Nasional,Cambridge,2741472,915591,Mandarin,C,"Lab Komputer, Perpustakaan, Lapangan","Futsal, Tari, Robotik",Katolik,Lomba Tari Provinsi,Tidak Ada,022-7654321,"bandung bali sd nasional c lab komputer, perpustakaan, lapangan futsal, tari, robotik katolik 2741472 915591",0.050870787,www.sdbintangtimur225.sch.id
TK Ceria 266,Jl. Raya Ujung,Koja,Jakarta Utara,TK,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,A,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Islam,Juara 1 OSN,Tidak Ada,0274-998877,"bandung bali sma negeri a lab komputer, perpustakaan, lapangan basket, pramuka, musik tidak ada 2054894 12330128",0.104121892,www.tkceria266.sch.id
Sekolah Harapan Bangsa 20,Jl. Gatot Subroto No.15,Tebet,Jakarta Selatan,SMP,Internasional,Cambridge,1014886,16304858,Bahasa Inggris,C,"Kolam Renang, Aula","Basket, Pramuka, Musik",Katolik,Olimpiade Matematika,Tidak Ada,021-1234567,"jakarta selatan jawa barat smp internasional c kolam renang, aula basket, pramuka, musik katolik 1014886 16304858",0.049286278,www.sekolahharapanbangsa20.sch.id
Sekolah Harapan Bangsa 72,Jl. Gatot Subroto No.15,Tanah Abang,Jakarta Pusat,SD,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,A,"Ruang Musik, Ruang Seni","Pencak Silat, KIR",Islam,Lomba Tari Provinsi,Antar Jemput Pribadi,022-7654321,"denpasar jawa timur sma negeri a ruang musik, ruang seni pencak silat, kir tidak ada 1114950 16749868",0.02044925,www.sekolahharapanbangsa72.sch.id
TK Ceria 195,Jl. Merdeka No.10,Pantai Indah Kapuk,Jakarta Utara,TK,Nasional Plus,IB,655002,14512612,Mandarin,A,"Ruang Musik, Ruang Seni","Pencak Silat, KIR",Islam,Olimpiade Matematika,Bus Sekolah,0274-998877,"jakarta selatan bali smp nasional plus a ruang musik, ruang seni pencak silat, kir islam 655002 14512612",0.04362976,www.tkceria195.sch.id
SD Bintang Timur 75,Jl. Gatot Subroto No.15,Cilandak,Jakarta Selatan,SD,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,A,"Kolam Renang, Aula","Basket, Pramuka, Musik",Islam,Debat Nasional,Bus Sekolah,021-1234567,"jakarta selatan di yogyakarta tk negeri a kolam renang, aula basket, pramuka, musik katolik 269844 17439115",0.049128379,www.sdbintangtimur75.sch.id
SMP Pelita Ilmu 121,Jl. Gatot Subroto No.15,Pademangan,Jakarta Utara,SMP,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,B,"Ruang Musik, Perpustakaan, Lapangan","Futsal, Tari, Robotik",Islam,Olimpiade Matematika,Tidak Ada,031-8765432,"bandung jawa barat tk nasional b ruang musik, ruang seni futsal, tari, robotik budha 220529 8536390",0,www.smppelitailmu121.sch.id
Sekolah Harapan Bangsa 132,Jl. Gatot Subroto No.15,Jagakarsa,Jakarta Selatan,SMA,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,B,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Islam,Juara 1 OSN,Antar Jemput Pribadi,0361-556677,"surabaya dki jakarta sd negeri b lab komputer, perpustakaan, lapangan pencak silat, kir katolik 1692225 9407252",0.090879469,www.sekolahharapanbangsa132.sch.id
SD Bintang Timur 85,Jl. Mawar No.2,Cilincing,Jakarta Utara,SD,Nasional,IB,2225938,19401772,Jepang,C,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Budha,Debat Nasional,Antar Jemput Pribadi,031-8765432,"surabaya di yogyakarta sma nasional c lab komputer, perpustakaan, lapangan basket, pramuka, musik budha 2225938 19401772",0.105850487,www.sdbintangtimur85.sch.id
SD Bintang Timur 41,Jl. Sudirman No.25,Gambir,Jakarta Pusat,SD,Nasional Plus,Kurikulum Merdeka,1736280,18134285,Bahasa Indonesia,C,"Lab Komputer, Perpustakaan, Lapangan","Futsal, Tari, Robotik",Kristen,Olimpiade Matematika,Bus Sekolah,031-8765432,"yogyakarta di yogyakarta sd nasional plus c lab komputer, perpustakaan, lapangan futsal, tari, robotik kristen 1736280 18134285",0.048813469,www.sdbintangtimur41.sch.id
SD Bintang Timur 89,Jl. Sudirman No.25,Kembangan,Jakarta Barat,SD,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,C,"Ruang Musik, Ruang Seni","Futsal, Tari, Robotik",Islam,Juara 1 OSN,Bus Sekolah,0361-556677,"surabaya jawa timur sd negeri c ruang musik, ruang seni futsal, tari, robotik tidak ada 155945 19511589",0,www.sdbintangtimur89.sch.id
SD Bintang Timur 294,Jl. Sudirman No.25,Ciracas,Jakarta Timur,SD,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,B,"Lab Komputer, Perpustakaan, Lapangan","Futsal, Tari, Robotik",Islam,Olimpiade Matematika,Antar Jemput Pribadi,022-7654321,"surabaya bali tk negeri b lab komputer, perpustakaan, lapangan futsal, tari, robotik katolik 830543 5186298",0.050491363,www.sdbintangtimur294.sch.id
SMA Nusantara 120,Jl. Raya Ujung,Ciracas,Jakarta Timur,SMA,Nasional Plus,Kurikulum Merdeka,1075997,17171176,Jepang,A,"Ruang Musik, Ruang Seni","Pencak Silat, KIR",Hindu,Juara 1 OSN,Bus Sekolah,021-1234567,"denpasar di yogyakarta sma nasional plus a ruang musik, ruang seni pencak silat, kir hindu 1075997 17171176",0.020677433,www.smanusantara120.sch.id
SMP Pelita Ilmu 234,Jl. Mawar No.2,Cempaka Putih,Jakarta Pusat,SMP,Internasional,Cambridge,2760080,7310882,Bahasa Inggris,C,"Ruang Musik, Ruang Seni","Basket, Pramuka, Musik",Hindu,Juara 1 OSN,Tidak Ada,0274-998877,"yogyakarta dki jakarta smp internasional c ruang musik, ruang seni basket, pramuka, musik hindu 2760080 7310882",0.072873693,www.smppelitailmu234.sch.id
SMP Pelita Ilmu 184,Jl. Sudirman No.25,Cempaka Putih,Jakarta Pusat,SMP,Nasional,IB,2989534,5307935,Jepang,A,"Lab Komputer, Perpustakaan, Lapangan","Futsal, Tari, Robotik",Hindu,Juara 1 OSN,Tidak Ada,031-8765432,"jakarta selatan dki jakarta smp nasional a lab komputer, perpustakaan, lapangan futsal, tari, robotik hindu 2989534 5307935",0.103620984,www.smppelitailmu184.sch.id
TK Ceria 249,Jl. Raya Ujung,Kelapa Gading,Jakarta Utara,TK,Nasional Plus,Kurikulum Merdeka,599802,3066671,Mandarin,B,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Budha,Debat Nasional,Bus Sekolah,031-8765432,"jakarta selatan dki jakarta sd nasional plus b lab komputer, perpustakaan, lapangan basket, pramuka, musik budha 599802 3066671",0.135140398,www.tkceria249.sch.id
SD Bintang Timur 62,Jl. Sudirman No.25,Cengkareng,Jakarta Barat,SD,Nasional,Kurikulum Merdeka,1495250,5665786,Bahasa Inggris,B,"Ruang Musik, Ruang Seni","Futsal, Tari, Robotik",Budha,Debat Nasional,Antar Jemput Pribadi,0274-998877,"surabaya bali smp nasional b ruang musik, ruang seni futsal, tari, robotik budha 1495250 5665786",0,www.sdbintangtimur62.sch.id
TK Ceria 117,Jl. Mawar No.2,Kemayoran,Jakarta Pusat,TK,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,C,"Kolam Renang, Aula","Basket, Pramuka, Musik",Islam,Juara 1 OSN,Antar Jemput Pribadi,022-7654321,"surabaya jawa barat sma negeri c kolam renang, aula basket, pramuka, musik hindu 1019554 17208339",0.055650825,www.tkceria117.sch.id
SMA Nusantara 157,Jl. Gatot Subroto No.15,Cakung,Jakarta Timur,SMA,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,B,"Kolam Renang, Aula","Pencak Silat, KIR",Islam,Olimpiade Matematika,Bus Sekolah,0274-998877,"bandung jawa barat smp negeri b kolam renang, aula pencak silat, kir islam 1929053 16318567",0.029610321,www.smanusantara157.sch.id
SMA Nusantara 109,Jl. Sudirman No.25,Pasar Minggu,Jakarta Selatan,SMA,Nasional,Kurikulum Merdeka,269164,9346806,Bahasa Inggris,A,"Kolam Renang, Aula","Pencak Silat, KIR",Tidak Ada,Olimpiade Matematika,Bus Sekolah,0274-998877,"jakarta selatan bali sd nasional a kolam renang, aula pencak silat, kir tidak ada 269164 9346806",0.015480277,www.smanusantara109.sch.id
SD Bintang Timur 72,Jl. Raya Ujung,Kemayoran,Jakarta Pusat,SD,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,C,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Islam,Olimpiade Matematika,Tidak Ada,0274-998877,"surabaya jawa timur sma negeri c lab komputer, perpustakaan, lapangan basket, pramuka, musik hindu 2249195 15085972",0.105116238,www.sdbintangtimur72.sch.id
SD Bintang Timur 266,Jl. Merdeka No.10,Pantai Indah Kapuk,Jakarta Utara,SD,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,A,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Islam,Lomba Tari Provinsi,Tidak Ada,021-1234567,"bandung jawa timur sma negeri a lab komputer, perpustakaan, lapangan pencak silat, kir katolik 1408363 14655795",0.071137772,www.sdbintangtimur266.sch.id
SMA Nusantara 202,Jl. Raya Ujung,Matraman,Jakarta Timur,SMA,Internasional,Cambridge,1079211,5287115,Bahasa Inggris,C,"Kolam Renang, Aula","Pencak Silat, KIR",Budha,Debat Nasional,Bus Sekolah,022-7654321,"yogyakarta jawa timur sd internasional c kolam renang, aula pencak silat, kir budha 1079211 5287115",0,www.smanusantara202.sch.id
Sekolah Harapan Bangsa 213,Jl. Sudirman No.25,Johar Baru,Jakarta Pusat,TK,Internasional,Cambridge,2057923,14985295,Bahasa Inggris,B,"Ruang Musik, Ruang Seni","Basket, Pramuka, Musik",Islam,Juara 1 OSN,Bus Sekolah,021-1234567,"jakarta selatan jawa timur smp internasional b ruang musik, ruang seni basket, pramuka, musik islam 2057923 14985295",0.07543524,www.sekolahharapanbangsa213.sch.id
SD Bintang Timur 6,Jl. Mawar No.2,Senen,Jakarta Pusat,SD,Nasional Plus,Kurikulum Merdeka,2491286,18188312,Jepang,B,"Kolam Renang, Aula","Basket, Pramuka, Musik",Tidak Ada,Juara 1 OSN,Antar Jemput Pribadi,0274-998877,"denpasar bali sma nasional plus b kolam renang, aula basket, pramuka, musik tidak ada 2491286 18188312",0.054625114,www.sdbintangtimur6.sch.id
SMA Nusantara 183,Jl. Sudirman No.25,Penjaringan,Jakarta Utara,SMA,Nasional,IB,2595896,18760595,Jepang,B,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Tidak Ada,Lomba Tari Provinsi,Tidak Ada,022-7654321,"surabaya jawa barat sd nasional b lab komputer, perpustakaan, lapangan pencak silat, kir tidak ada 2595896 18760595",0.049382781,www.smanusantara183.sch.id
SMA Nusantara 203,Jl. Gatot Subroto No.15,Kalideres,Jakarta Barat,SMA,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,B,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Islam,Olimpiade Matematika,Bus Sekolah,021-1234567,"bandung bali smp negeri b lab komputer, perpustakaan, lapangan basket, pramuka, musik katolik 2221622 6436314",0.084697467,www.smanusantara203.sch.id
SMP Pelita Ilmu 23,Jl. Merdeka No.10,Setiabudi,Jakarta Selatan,SMP,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,B,"Ruang Musik, Ruang Seni","Pencak Silat, KIR",Islam,Juara 1 OSN,Bus Sekolah,022-7654321,"yogyakarta jawa barat smp negeri b ruang musik, ruang seni pencak silat, kir islam 1821547 2381619",0.028966501,www.smppelitailmu23.sch.id
SD Bintang Timur 79,Jl. Raya Ujung,Setiabudi,Jakarta Selatan,SD,Nasional,IB,2253410,12640475,Jepang,C,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Kristen,Lomba Tari Provinsi,Tidak Ada,0274-998877,"bandung jawa barat smp nasional c lab komputer, perpustakaan, lapangan pencak silat, kir kristen 2253410 12640475",0.050281091,www.sdbintangtimur79.sch.id
SMA Nusantara 94,Jl. Gatot Subroto No.15,Matraman,Jakarta Timur,SMA,Nasional,IB,1148167,15616209,Mandarin,B,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Hindu,Debat Nasional,Antar Jemput Pribadi,0274-998877,"yogyakarta di yogyakarta sma nasional b lab komputer, perpustakaan, lapangan basket, pramuka, musik hindu 1148167 15616209",0.104267611,www.smanusantara94.sch.id
Sekolah Harapan Bangsa 210,Jl. Merdeka No.10,Matraman,Jakarta Timur,SD,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,A,"Kolam Renang, Aula","Futsal, Tari, Robotik",Islam,Debat Nasional,Tidak Ada,022-7654321,"jakarta selatan bali smp negeri a kolam renang, aula futsal, tari, robotik hindu 634534 3262232",0.01567215,www.sekolahharapanbangsa210.sch.id
SMA Nusantara 256,Jl. Gatot Subroto No.15,Tanah Abang,Jakarta Pusat,SMA,Internasional,Cambridge,727732,6562671,Bahasa Inggris,C,"Kolam Renang, Aula","Futsal, Tari, Robotik",Kristen,Juara 1 OSN,Tidak Ada,031-8765432,"surabaya di yogyakarta tk internasional c kolam renang, aula futsal, tari, robotik kristen 727732 6562671",0,www.smanusantara256.sch.id
SD Bintang Timur 230,Jl. Gatot Subroto No.15,Tanah Abang,Jakarta Pusat,SD,Nasional,Kurikulum Merdeka,626282,8290698,Jepang,B,"Kolam Renang, Aula","Pencak Silat, KIR",Budha,Debat Nasional,Tidak Ada,031-8765432,"surabaya jawa timur tk nasional b kolam renang, aula pencak silat, kir budha 626282 8290698",0,www.sdbintangtimur230.sch.id
SMP Pelita Ilmu 65,Jl. Mawar No.2,Pesanggrahan,Jakarta Selatan,SMP,Internasional,IB,1283664,10572305,Bahasa Inggris,B,"Kolam Renang, Aula","Futsal, Tari, Robotik",Hindu,Juara 1 OSN,Antar Jemput Pribadi,0274-998877,"bandung di yogyakarta sma internasional b kolam renang, aula futsal, tari, robotik hindu 1283664 10572305",0.021448798,www.smppelitailmu65.sch.id
TK Ceria 35,Jl. Mawar No.2,Johar Baru,Jakarta Pusat,TK,Nasional,Cambridge,2624327,16600537,Bahasa Inggris,C,"Ruang Musik, Ruang Seni","Pencak Silat, KIR",Islam,Lomba Tari Provinsi,Bus Sekolah,021-1234567,"yogyakarta bali sd nasional c ruang musik, ruang seni pencak silat, kir islam 2624327 16600537",0.029484334,www.tkceria35.sch.id
Sekolah Harapan Bangsa 300,Jl. Raya Ujung,Kebayoran Lama,Jakarta Selatan,SD,Nasional,IB,1377156,15860046,Bahasa Inggris,B,"Kolam Renang, Aula","Futsal, Tari, Robotik",Kristen,Juara 1 OSN,Antar Jemput Pribadi,022-7654321,"yogyakarta jawa barat sma nasional b kolam renang, aula futsal, tari, robotik hindu 1377156 15860046",0.021800945,www.sekolahharapanbangsa300.sch.id
SMP Pelita Ilmu 77,Jl. Raya Ujung,Kebon Jeruk,Jakarta Barat,SMP,Internasional,Cambridge,707272,19595175,Bahasa Inggris,A,"Ruang Musik, Ruang Seni","Basket, Pramuka, Musik",Islam,Juara 1 OSN,Antar Jemput Pribadi,021-1234567,"yogyakarta di yogyakarta tk internasional a ruang musik, ruang seni basket, pramuka, musik islam 707272 19595175",0.060253798,www.smppelitailmu77.sch.id
SD Bintang Timur 132,Jl. Raya Ujung,Tebet,Jakarta Selatan,SD,Internasional,Cambridge,413038,15448472,Bahasa Inggris,A,"Ruang Musik, Ruang Seni","Basket, Pramuka, Musik",Katolik,Debat Nasional,Bus Sekolah,022-7654321,"jakarta selatan dki jakarta smp internasional a ruang musik, ruang seni basket, pramuka, musik katolik 413038 15448472",0.084968263,www.sdbintangtimur132.sch.id
SMP Pelita Ilmu 205,Jl. Gatot Subroto No.15,Setiabudi,Jakarta Selatan,SMP,Internasional,Cambridge,1631639,4861193,Bahasa Inggris,C,"Ruang Musik, Ruang Seni","Pencak Silat, KIR",Kristen,Debat Nasional,Bus Sekolah,021-1234567,"denpasar jawa timur smp internasional c ruang musik, ruang seni pencak silat, kir kristen 1631639 4861193",0,www.smppelitailmu205.sch.id
SMA Nusantara 17,Jl. Gatot Subroto No.15,Menteng,Jakarta Pusat,SMA,Nasional,Kurikulum Merdeka,1306752,6284764,Mandarin,B,"Kolam Renang, Aula","Pencak Silat, KIR",Hindu,Juara 1 OSN,Antar Jemput Pribadi,0361-556677,"surabaya di yogyakarta tk nasional b kolam renang, aula pencak silat, kir hindu 1306752 6284764",0,www.smanusantara17.sch.id
SD Bintang Timur 228,Jl. Mawar No.2,Kelapa Gading,Jakarta Utara,SD,Nasional,Kurikulum 2013,2451063,19895133,Mandarin,A,"Ruang Musik, Ruang Seni","Pencak Silat, KIR",Islam,Debat Nasional,Bus Sekolah,031-8765432,"surabaya jawa barat sma nasional a ruang musik, ruang seni pencak silat, kir islam 2451063 19895133",0.050007329,www.sdbintangtimur228.sch.id
Sekolah Harapan Bangsa 47,Jl. Mawar No.2,Senen,Jakarta Pusat,SMA,Nasional Plus,IB,1313148,10602312,Bahasa Inggris,A,"Kolam Renang, Aula","Pencak Silat, KIR",Kristen,Olimpiade Matematika,Tidak Ada,022-7654321,"yogyakarta dki jakarta tk nasional plus a kolam renang, aula pencak silat, kir kristen 1313148 10602312",0.041185364,www.sekolahharapanbangsa47.sch.id
SMA Nusantara 91,Jl. Sudirman No.25,Tanjung Priok,Jakarta Utara,SMA,Internasional,IB,1439717,4249096,Bahasa Inggris,B,"Ruang Musik, Ruang Seni","Pencak Silat, KIR",Kristen,Debat Nasional,Bus Sekolah,0361-556677,"bandung di yogyakarta sd internasional b ruang musik, ruang seni pencak silat, kir kristen 1439717 4249096",0,www.smanusantara91.sch.id
Sekolah Harapan Bangsa 90,Jl. Mawar No.2,Tanah Abang,Jakarta Pusat,SMP,Nasional Plus,IB,1821039,8764460,Bahasa Indonesia,A,"Lab Komputer, Perpustakaan, Lapangan","Futsal, Tari, Robotik",Budha,Juara 1 OSN,Antar Jemput Pribadi,031-8765432,"surabaya di yogyakarta sma nasional plus a lab komputer, perpustakaan, lapangan futsal, tari, robotik budha 1821039 8764460",0.070578701,www.sekolahharapanbangsa90.sch.id
TK Ceria 122,Jl. Merdeka No.10,Penjaringan,Jakarta Utara,TK,Internasional,IB,932708,16489464,Mandarin,C,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Katolik,Juara 1 OSN,Antar Jemput Pribadi,022-7654321,"jakarta selatan dki jakarta sd internasional c lab komputer, perpustakaan, lapangan pencak silat, kir katolik 932708 16489464",0.103188515,www.tkceria122.sch.id
SMP Pelita Ilmu 269,Jl. Gatot Subroto No.15,Kramat Jati,Jakarta Timur,SMP,Nasional,Kurikulum Merdeka,1835722,4588120,Bahasa Inggris,B,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Tidak Ada,Debat Nasional,Tidak Ada,0361-556677,"bandung jawa barat sd nasional b lab komputer, perpustakaan, lapangan pencak silat, kir tidak ada 1835722 4588120",0.049342712,www.smppelitailmu269.sch.id
TK Ceria 192,Jl. Mawar No.2,Koja,Jakarta Utara,TK,Internasional,Cambridge,1063035,9421004,Bahasa Inggris,A,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Hindu,Lomba Tari Provinsi,Tidak Ada,022-7654321,"bandung di yogyakarta sma internasional a lab komputer, perpustakaan, lapangan pencak silat, kir hindu 1063035 9421004",0.071144154,www.tkceria192.sch.id
Sekolah Harapan Bangsa 35,Jl. Merdeka No.10,Johar Baru,Jakarta Pusat,SD,Nasional Plus,Kurikulum 2013,2372760,12203372,Bahasa Indonesia,A,"Kolam Renang, Aula","Basket, Pramuka, Musik",Hindu,Juara 1 OSN,Bus Sekolah,0274-998877,"yogyakarta di yogyakarta sma nasional plus a kolam renang, aula basket, pramuka, musik hindu 2372760 12203372",0.054279625,www.sekolahharapanbangsa35.sch.id
TK Ceria 48,Jl. Raya Ujung,Gambir,Jakarta Pusat,TK,Internasional,IB,2355648,9185839,Mandarin,B,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Islam,Lomba Tari Provinsi,Antar Jemput Pribadi,031-8765432,"bandung jawa barat sd internasional b lab komputer, perpustakaan, lapangan basket, pramuka, musik islam 2355648 9185839",0.113455548,www.tkceria48.sch.id
SMA Nusantara 231,Jl. Gatot Subroto No.15,Cipayung,Jakarta Timur,SMA,Nasional,Kurikulum 2013,1534209,12761462,Bahasa Inggris,A,"Ruang Musik, Ruang Seni","Pencak Silat, KIR",Katolik,Lomba Tari Provinsi,Tidak Ada,0274-998877,"jakarta selatan bali sma nasional a ruang musik, ruang seni pencak silat, kir katolik 1534209 12761462",0.036337101,www.smanusantara231.sch.id
SMA Nusantara 182,Jl. Mawar No.2,Jagakarsa,Jakarta Selatan,SMA,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,B,"Ruang Musik, Ruang Seni","Pencak Silat, KIR",Islam,Debat Nasional,Bus Sekolah,0274-998877,"jakarta selatan bali tk negeri b ruang musik, ruang seni pencak silat, kir katolik 884902 3208390",0.015223906,www.smanusantara182.sch.id
SMP Pelita Ilmu 227,Jl. Mawar No.2,Penjaringan,Jakarta Utara,SMP,Internasional,IB,120940,3305067,Bahasa Inggris,B,"Kolam Renang, Aula","Pencak Silat, KIR",Budha,Juara 1 OSN,Tidak Ada,0274-998877,"surabaya dki jakarta sma internasional b kolam renang, aula pencak silat, kir budha 120940 3305067",0.062856186,www.smppelitailmu227.sch.id
Sekolah Harapan Bangsa 63,Jl. Raya Ujung,Cakung,Jakarta Timur,SMA,Internasional,Cambridge,973750,6338056,Bahasa Inggris,A,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Budha,Juara 1 OSN,Antar Jemput Pribadi,021-1234567,"jakarta selatan di yogyakarta sd internasional a lab komputer, perpustakaan, lapangan basket, pramuka, musik budha 973750 6338056",0.098372641,www.sekolahharapanbangsa63.sch.id
TK Ceria 137,Jl. Merdeka No.10,Cempaka Putih,Jakarta Pusat,TK,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,B,"Kolam Renang, Aula","Pencak Silat, KIR",Islam,Lomba Tari Provinsi,Bus Sekolah,031-8765432,"jakarta selatan di yogyakarta sd negeri b kolam renang, aula pencak silat, kir hindu 2040175 13516349",0.015502695,www.tkceria137.sch.id
SD Bintang Timur 198,Jl. Gatot Subroto No.15,Kebayoran Baru,Jakarta Selatan,SD,Internasional,Cambridge,303209,17048839,Bahasa Inggris,B,"Lab Komputer, Perpustakaan, Lapangan","Futsal, Tari, Robotik",Katolik,Debat Nasional,Bus Sekolah,0274-998877,"denpasar dki jakarta smp internasional b lab komputer, perpustakaan, lapangan futsal, tari, robotik katolik 303209 17048839",0.090850571,www.sdbintangtimur198.sch.id
